Name,Category,Purchase Price,Currency,Purchase Date,Purchase Location,Current Value,Desire to Keep,Condition,Condition Notes,Serial Number,Notes,Reverb Product ID,Year,,,
Leica M6 TTL 0.72,Photography/Cameras/Film,2650.00,USD,2019-04-18,KEH Camera,3400.00,5,excellent,"meter accurate, slight brassing",2468731,"Black chrome, CLA'd 2023",,,,,

Summicron-M 35mm f/2 v4,Photography/Lenses,1900.00,USD,2020-09-02,eBay,2900.00,5,good,faint cleaning marks,3391062,"""King of bokeh"" — stays with the M6",,,,,

Fujifilm X100V,Photography/Cameras/Digital,1399.00,USD,2021-02-14,B&H Photo,1550.00,3,excellent,boxed with all caps,91A05877,Silver,,,,,

Fender AV II '61 Stratocaster,Music/Guitars/Electric,2249.99,USD,2023-11-24,Sweetwater,2100.00,4,excellent,case candy complete,V2318554,"Olympic white, rosewood board.
Black Friday purchase.",160322,2023,,,

Martin D-18,Music/Guitars/Acoustic,2299.00,USD,2018-06-30,Local shop (trade-in),2600.00,5,good,pick wear below the guard,2214782,The keeper,182769,2018,,,

